timestamp,sensor_1,sensor_2,sensor_3
1546964729337,0.492669,0.502444,0
1546964729450,0.492669,0.491691,0
1546964729557,0.492669,0.485826,0
1546964729666,0.491691,0.486804,0
1546964729774,0.492669,0.490714,0
1546964729887,0.492669,0.486804,0
1546964729992,0.491691,0.509286,0
1546964730102,0.492669,0.520039,0
1546964730215,0.491691,0.502444,0
1546964730325,0.492669,0.497556,0
1546964730430,0.491691,0.497556,0
1546964730544,0.492669,0.493646,0
1546964730649,0.492669,0.495601,0
1546964730761,0.492669,0.495601,0
1546964730873,0.492669,0.492669,0
1546964730978,0.492669,0.492669,0
1546964731087,0.493646,0.489736,0
1546964731196,0.492669,0.493646,0
1546964731306,0.492669,0.493646,0
1546964731424,0.492669,0.489736,0
1546964731525,0.492669,0.507331,0
1546964731634,0.492669,0.509286,0
1546964731744,0.492669,0.492669,0
1546964731853,0.492669,0.497556,0
1546964731962,0.492669,0.497556,0
1546964732073,0.492669,0.486804,0
1546964732181,0.492669,0.482893,0
1546964732289,0.493646,0.494624,0
1546964732400,0.494624,0.491691,0
1546964732510,0.494624,0.493646,0
1546964732620,0.493646,0.491691,0
1546964732729,0.493646,0.490714,0
1546964732838,0.493646,0.496579,0
1546964732950,0.494624,0.516129,0
1546964733057,0.493646,0.506354,0
1546964733167,0.494624,0.496579,0
1546964733276,0.494624,0.505376,0
1546964733386,0.493646,0.495601,0
1546964733495,0.493646,0.496579,0
1546964733610,0.493646,0.496579,0
1546964733715,0.494624,0.490714,0
1546964733823,0.493646,0.488759,0
1546964733932,0.493646,0.486804,0
1546964734038,0.493646,0.491691,0
1546964734152,0.493646,0.492669,0
1546964734259,0.494624,0.516129,0
1546964734368,0.493646,0.501466,0
1546964734480,0.493646,0.493646,0
1546964734585,0.493646,0.498534,0
1546964734695,0.493646,0.492669,0
1546964734809,0.494624,0.493646,0
1546964734919,0.493646,0.492669,0
1546964735027,0.493646,0.489736,0
1546964735134,0.493646,0.488759,0
1546964735242,0.493646,0.487781,0
1546964735352,0.493646,0.486804,0
1546964735465,0.492669,0.500489,0
1546964735571,0.493646,0.509286,0
1546964735684,0.493646,0.493646,0
1546964735790,0.493646,0.495601,0
1546964735899,0.493646,0.498534,0
1546964736009,0.493646,0.492669,0
1546964736123,0.492669,0.489736,0
1546964736228,0.493646,0.493646,0
1546964736337,0.493646,0.491691,0
1546964736446,0.493646,0.493646,0
1546964736561,0.493646,0.498534,0
1546964736667,0.493646,0.508309,0
1546964736780,0.493646,0.501466,0
1546964736888,0.493646,0.497556,0
1546964736993,0.492669,0.502444,0
1546964737103,0.493646,0.494624,0
1546964737211,0.493646,0.500489,0
1546964737324,0.493646,0.493646,0
1546964737435,0.493646,0.495601,0
1546964737540,0.493646,0.495601,0
1546964737651,0.493646,0.497556,0
1546964737761,0.493646,0.502444,0
1546964737871,0.493646,0.504399,0
1546964737978,0.493646,0.494624,0
1546964738089,0.493646,0.500489,0
1546964738199,0.493646,0.499511,0
1546964738304,0.493646,0.496579,0
1546964738416,0.493646,0.496579,0
1546964738525,0.493646,0.503421,0
1546964738635,0.493646,0.492669,0
1546964738741,0.494624,0.494624,0
1546964738851,0.493646,0.502444,0
1546964738965,0.493646,0.513196,0
1546964739073,0.493646,0.500489,0
1546964739182,0.494624,0.501466,0
1546964739295,0.493646,0.503421,0
1546964739405,0.494624,0.497556,0
1546964739511,0.494624,0.498534,0
1546964739620,0.494624,0.498534,0
1546964739734,0.494624,0.497556,0
1546964739837,0.494624,0.494624,0
1546964739953,0.494624,0.497556,0
