timestamp,sensor_1,sensor_2,sensor_3
1546966330775,0.493646,0.495601,0
1546966330883,0.491691,0.496579,0
1546966330993,0.491691,0.495601,0
1546966331106,0.491691,0.514174,0
1546966331211,0.491691,0.498534,0
1546966331321,0.491691,0.496579,0
1546966331430,0.491691,0.503421,0
1546966331540,0.491691,0.494624,0
1546966331648,0.490714,0.490714,0
1546966331761,0.490714,0.490714,0
1546966331868,0.491691,0.504399,0
1546966331977,0.491691,0.499511,0
1546966332091,0.491691,0.498534,0
1546966332197,0.492669,0.502444,0
1546966332310,0.491691,0.494624,0
1546966332423,0.491691,0.493646,0
1546966332525,0.491691,0.505376,0
1546966332634,0.491691,0.519062,0
1546966332748,0.491691,0.502444,0
1546966332853,0.491691,0.512219,0
1546966332966,0.491691,0.498534,0
1546966333072,0.491691,0.494624,0
1546966333183,0.492669,0.495601,0
1546966333291,0.492669,0.525904,0
1546966333404,0.492669,0.516129,0
1546966333514,0.493646,0.507331,0
1546966333624,0.491691,0.498534,0
1546966333733,0.491691,0.491691,0
1546966333842,0.491691,0.492669,0
1546966333950,0.491691,0.523949,0
1546966334057,0.491691,0.520039,0
1546966334166,0.490714,0.500489,0
1546966334280,0.490714,0.506354,0
1546966334385,0.489736,0.506354,0
1546966334499,0.489736,0.499511,0
1546966334608,0.489736,0.494624,0
1546966334714,0.489736,0.526882,0
1546966334827,0.488759,0.531769,0
1546966334933,0.488759,0.511241,0
1546966335040,0.488759,0.513196,0
1546966335150,0.488759,0.503421,0
1546966335257,0.488759,0.490714,0
1546966335367,0.488759,0.489736,0
1546966335484,0.488759,0.523949,0
1546966335590,0.488759,0.54741,0
1546966335695,0.488759,0.516129,0
1546966335809,0.487781,0.517107,0
1546966335913,0.487781,0.509286,0
1546966336027,0.486804,0.490714,0
1546966336137,0.486804,0.495601,0
1546966336246,0.486804,0.495601,0
1546966336351,0.485826,0.521017,0
1546966336467,0.485826,0.508309,0
1546966336574,0.487781,0.498534,0
1546966336680,0.485826,0.504399,0
1546966336789,0.484848,0.485826,0
1546966336899,0.484848,0.482893,0
1546966337009,0.484848,0.470186,0
1546966337121,0.483871,0.531769,0
1546966337228,0.483871,0.501466,0
1546966337341,0.483871,0.484848,0
1546966337446,0.482893,0.490714,0
1546966337556,0.482893,0.481916,0
1546966337665,0.481916,0.491691,0
1546966337775,0.482893,0.495601,0
1546966337884,0.481916,0.502444,0
1546966337993,0.481916,0.502444,0
1546966338103,0.480938,0.491691,0
1546966338212,0.480938,0.492669,0
1546966338322,0.479961,0.486804,0
1546966338429,0.479961,0.484848,0
1546966338540,0.478983,0.487781,0
1546966338650,0.478983,0.513196,0
1546966338764,0.478006,0.501466,0
1546966338869,0.478006,0.497556,0
1546966338978,0.478006,0.489736,0
1546966339088,0.477028,0.484848,0
1546966339202,0.476051,0.486804,0
1546966339309,0.476051,0.487781,0
1546966339416,0.475073,0.505376,0
1546966339530,0.475073,0.501466,0
1546966339633,0.474096,0.499511,0
1546966339749,0.474096,0.493646,0
1546966339858,0.474096,0.489736,0
1546966339964,0.473118,0.496579,0
1546966340077,0.473118,0.482893,0
1546966340182,0.472141,0.494624,0
1546966340292,0.472141,0.512219,0
1546966340399,0.472141,0.493646,0
1546966340511,0.471163,0.496579,0
1546966340624,0.471163,0.495601,0
1546966340729,0.471163,0.491691,0
1546966340835,0.471163,0.491691,0
1546966340948,0.470186,0.486804,0
1546966341054,0.470186,0.496579,0
1546966341168,0.469208,0.506354,0
1546966341275,0.469208,0.499511,0
1546966341383,0.469208,0.502444,0
1546966341492,0.468231,0.498534,0
1546966341601,0.467253,0.485826,0
1546966341712,0.467253,0.486804,0
1546966341824,0.467253,0.503421,0
1546966341934,0.467253,0.511241,0
1546966342040,0.467253,0.497556,0
1546966342147,0.466276,0.491691,0
1546966342259,0.466276,0.491691,0
1546966342370,0.466276,0.488759,0
1546966342477,0.466276,0.492669,0
1546966342587,0.465298,0.491691,0
1546966342696,0.465298,0.512219,0
1546966342808,0.465298,0.499511,0
1546966342919,0.465298,0.495601,0
1546966343028,0.464321,0.496579,0
1546966343135,0.464321,0.493646,0
1546966343247,0.464321,0.491691,0
1546966343358,0.464321,0.496579,0
1546966343462,0.463343,0.512219,0
1546966343577,0.463343,0.501466,0
1546966343683,0.463343,0.497556,0
1546966343791,0.463343,0.497556,0
1546966343900,0.463343,0.495601,0
1546966344008,0.463343,0.489736,0
1546966344119,0.463343,0.506354,0
1546966344229,0.463343,0.523949,0
1546966344342,0.463343,0.508309,0
1546966344451,0.463343,0.500489,0
1546966344561,0.462366,0.498534,0
1546966344666,0.462366,0.498534,0
1546966344779,0.462366,0.489736,0
1546966344885,0.462366,0.509286,0
1546966344994,0.461388,0.514174,0
1546966345104,0.462366,0.499511,0
1546966345213,0.461388,0.498534,0
1546966345325,0.462366,0.496579,0
1546966345432,0.461388,0.491691,0
1546966345546,0.461388,0.498534,0
1546966345653,0.462366,0.514174,0
1546966345765,0.462366,0.502444,0
1546966345867,0.462366,0.496579,0
1546966345984,0.462366,0.500489,0
1546966346093,0.462366,0.496579,0
1546966346198,0.462366,0.489736,0
1546966346309,0.462366,0.515152,0
1546966346417,0.461388,0.514174,0
1546966346531,0.461388,0.503421,0
1546966346636,0.463343,0.496579,0
1546966346742,0.461388,0.492669,0
1546966346855,0.461388,0.498534,0
1546966346964,0.460411,0.518084,0
1546966347073,0.460411,0.504399,0
1546966347181,0.460411,0.504399,0
1546966347292,0.459433,0.498534,0
1546966347398,0.459433,0.498534,0
1546966347508,0.459433,0.495601,0
1546966347617,0.458456,0.514174,0
1546966347727,0.458456,0.501466,0
1546966347837,0.457478,0.493646,0
1546966347945,0.457478,0.507331,0
1546966348059,0.457478,0.496579,0
1546966348166,0.457478,0.492669,0
1546966348275,0.456501,0.513196,0
1546966348388,0.456501,0.507331,0
1546966348493,0.456501,0.504399,0
1546966348608,0.456501,0.504399,0
1546966348713,0.455523,0.492669,0
1546966348821,0.455523,0.492669,0
1546966348931,0.454545,0.523949,0
1546966349040,0.454545,0.507331,0
1546966349149,0.454545,0.497556,0
1546966349260,0.454545,0.499511,0
1546966349369,0.454545,0.495601,0
1546966349479,0.454545,0.494624,0
1546966349587,0.453568,0.526882,0
1546966349696,0.454545,0.504399,0
1546966349806,0.453568,0.500489,0
1546966349917,0.453568,0.498534,0
1546966350024,0.453568,0.495601,0
1546966350134,0.45259,0.488759,0
1546966350248,0.45259,0.516129,0
1546966350354,0.45259,0.519062,0
1546966350464,0.451613,0.493646,0
1546966350572,0.451613,0.496579,0
1546966350681,0.451613,0.492669,0
1546966350791,0.451613,0.484848,0
1546966350901,0.451613,0.491691,0
1546966351015,0.451613,0.511241,0
1546966351120,0.451613,0.522972,0
1546966351228,0.451613,0.497556,0
1546966351339,0.451613,0.496579,0
1546966351450,0.451613,0.494624,0
1546966351558,0.45259,0.489736,0
1546966351668,0.451613,0.493646,0
1546966351781,0.45259,0.518084,0
1546966351887,0.451613,0.500489,0
1546966351995,0.451613,0.494624,0
1546966352105,0.45259,0.494624,0
1546966352210,0.45259,0.490714,0
1546966352320,0.453568,0.486804,0
1546966352429,0.45259,0.511241,0
1546966352543,0.453568,0.507331,0
1546966352652,0.454545,0.489736,0
1546966352757,0.455523,0.496579,0
1546966352876,0.455523,0.483871,0
1546966352976,0.455523,0.486804,0
1546966353091,0.455523,0.499511,0
1546966353199,0.455523,0.511241,0
1546966353305,0.455523,0.492669,0
1546966353414,0.455523,0.498534,0
1546966353524,0.455523,0.495601,0
1546966353637,0.455523,0.491691,0
1546966353747,0.455523,0.507331,0
1546966353852,0.455523,0.515152,0
1546966353961,0.455523,0.493646,0
1546966354071,0.455523,0.498534,0
1546966354182,0.455523,0.497556,0
1546966354289,0.457478,0.492669,0
1546966354399,0.456501,0.516129,0
1546966354508,0.456501,0.516129,0
1546966354618,0.456501,0.496579,0
1546966354728,0.456501,0.501466,0
1546966354842,0.456501,0.498534,0
1546966354947,0.456501,0.497556,0
1546966355056,0.456501,0.530792,0
1546966355165,0.456501,0.507331,0
1546966355274,0.456501,0.495601,0
1546966355384,0.456501,0.507331,0
1546966355494,0.457478,0.496579,0
1546966355605,0.456501,0.508309,0
1546966355713,0.456501,0.527859,0
