timestamp,sensor_1,sensor_2,sensor_3
1546964009540,0.536657,0.495601,0
1546964009655,0.536657,0.484848,0
1546964009763,0.536657,0.482893,0
1546964009870,0.536657,0.483871,0
1546964009979,0.536657,0.483871,0
1546964010090,0.536657,0.478983,0
1546964010196,0.536657,0.481916,0
1546964010312,0.536657,0.475073,0
1546964010421,0.536657,0.518084,0
1546964010532,0.536657,0.59433,0
1546964010632,0.536657,0.512219,0
1546964010750,0.536657,0.516129,0
1546964010855,0.536657,0.516129,0
1546964010964,0.536657,0.492669,0
1546964011070,0.536657,0.489736,0
1546964011183,0.536657,0.492669,0
1546964011293,0.535679,0.488759,0
1546964011402,0.536657,0.478983,0
1546964011512,0.536657,0.476051,0
1546964011626,0.536657,0.503421,0
1546964011728,0.535679,0.605083,0
1546964011840,0.535679,0.522972,0
1546964011953,0.536657,0.506354,0
1546964012059,0.536657,0.533724,0
1546964012163,0.536657,0.487781,0
1546964012274,0.536657,0.479961,0
1546964012385,0.536657,0.487781,0
1546964012493,0.536657,0.486804,0
1546964012608,0.536657,0.478006,0
1546964012712,0.536657,0.476051,0
1546964012824,0.536657,0.479961,0
1546964012932,0.536657,0.478983,0
1546964013045,0.535679,0.609971,0
1546964013149,0.535679,0.550342,0
1546964013263,0.535679,0.508309,0
1546964013369,0.535679,0.524927,0
1546964013481,0.535679,0.501466,0
1546964013587,0.535679,0.482893,0
1546964013699,0.535679,0.487781,0
1546964013810,0.535679,0.485826,0
1546964013918,0.535679,0.482893,0
1546964014029,0.535679,0.478983,0
1546964014135,0.535679,0.478006,0
1546964014247,0.535679,0.475073,0
1546964014362,0.535679,0.471163,0
1546964014468,0.535679,0.487781,0
1546964014577,0.535679,0.603128,0
1546964014686,0.535679,0.523949,0
1546964014797,0.535679,0.504399,0
1546964014905,0.535679,0.525904,0
1546964015013,0.535679,0.525904,0
1546964015120,0.535679,0.480938,0
1546964015229,0.534702,0.484848,0
1546964015339,0.534702,0.478983,0
1546964015452,0.535679,0.471163,0
1546964015563,0.535679,0.475073,0
1546964015667,0.534702,0.472141,0
1546964015776,0.534702,0.472141,0
1546964015886,0.535679,0.469208,0
1546964015999,0.534702,0.476051,0
1546964016108,0.534702,0.567937,0
