timestamp,sensor_1,sensor_2,sensor_3
1546966120664,0.474096,0.503421,0
1546966120773,0.474096,0.504399,0
1546966120882,0.475073,0.497556,0
1546966120996,0.475073,0.495601,0
1546966121102,0.474096,0.521994,0
1546966121213,0.474096,0.530792,0
1546966121327,0.475073,0.505376,0
1546966121429,0.474096,0.506354,0
1546966121543,0.474096,0.500489,0
1546966121649,0.475073,0.488759,0
1546966121762,0.474096,0.495601,0
1546966121868,0.475073,0.532747,0
1546966121979,0.475073,0.530792,0
1546966122088,0.475073,0.503421,0
1546966122202,0.475073,0.509286,0
1546966122308,0.474096,0.492669,0
1546966122414,0.474096,0.496579,0
1546966122524,0.474096,0.493646,0
1546966122633,0.474096,0.502444,0
1546966122742,0.474096,0.502444,0
1546966122852,0.474096,0.512219,0
1546966122962,0.474096,0.507331,0
1546966123076,0.474096,0.511241,0
1546966123179,0.474096,0.493646,0
1546966123288,0.474096,0.491691,0
1546966123400,0.474096,0.503421,0
1546966123510,0.475073,0.536657,0
1546966123619,0.474096,0.503421,0
1546966123727,0.474096,0.507331,0
1546966123837,0.474096,0.500489,0
1546966123947,0.474096,0.487781,0
1546966124057,0.473118,0.487781,0
1546966124166,0.474096,0.521017,0
1546966124279,0.473118,0.520039,0
1546966124390,0.473118,0.494624,0
1546966124494,0.473118,0.506354,0
1546966124604,0.474096,0.497556,0
1546966124713,0.473118,0.487781,0
1546966124821,0.473118,0.482893,0
1546966124933,0.473118,0.482893,0
1546966125042,0.473118,0.480938,0
1546966125155,0.473118,0.515152,0
1546966125260,0.473118,0.535679,0
1546966125367,0.473118,0.508309,0
1546966125479,0.473118,0.504399,0
1546966125593,0.472141,0.494624,0
1546966125698,0.472141,0.488759,0
1546966125808,0.473118,0.487781,0
1546966125917,0.473118,0.482893,0
1546966126027,0.472141,0.480938,0
1546966126136,0.474096,0.495601,0
1546966126247,0.473118,0.529814,0
1546966126352,0.473118,0.499511,0
1546966126464,0.473118,0.495601,0
1546966126570,0.472141,0.493646,0
1546966126681,0.472141,0.484848,0
1546966126793,0.473118,0.482893,0
1546966126898,0.473118,0.479961,0
1546966127012,0.473118,0.480938,0
1546966127117,0.473118,0.485826,0
1546966127226,0.473118,0.520039,0
1546966127340,0.473118,0.489736,0
1546966127445,0.474096,0.488759,0
1546966127555,0.473118,0.491691,0
1546966127665,0.473118,0.485826,0
1546966127776,0.474096,0.482893,0
1546966127887,0.474096,0.482893,0
1546966127993,0.473118,0.486804,0
1546966128104,0.474096,0.509286,0
1546966128212,0.474096,0.502444,0
1546966128325,0.473118,0.489736,0
1546966128434,0.474096,0.495601,0
1546966128545,0.474096,0.489736,0
1546966128654,0.474096,0.488759,0
1546966128759,0.474096,0.487781,0
1546966128872,0.474096,0.488759,0
1546966128982,0.475073,0.496579,0
1546966129087,0.474096,0.514174,0
1546966129201,0.474096,0.494624,0
1546966129306,0.474096,0.497556,0
1546966129420,0.474096,0.497556,0
1546966129525,0.474096,0.491691,0
1546966129634,0.474096,0.491691,0
1546966129744,0.476051,0.487781,0
1546966129854,0.475073,0.488759,0
1546966129963,0.475073,0.508309,0
1546966130071,0.474096,0.513196,0
1546966130182,0.475073,0.496579,0
1546966130295,0.474096,0.496579,0
1546966130401,0.474096,0.493646,0
1546966130510,0.474096,0.487781,0
1546966130617,0.474096,0.494624,0
1546966130727,0.475073,0.490714,0
1546966130840,0.475073,0.483871,0
1546966130948,0.474096,0.515152,0
1546966131057,0.474096,0.501466,0
1546966131168,0.475073,0.503421,0
1546966131276,0.475073,0.498534,0
1546966131386,0.475073,0.490714,0
1546966131491,0.475073,0.491691,0
1546966131605,0.475073,0.495601,0
1546966131714,0.475073,0.494624,0
1546966131820,0.475073,0.521994,0
1546966131933,0.475073,0.503421,0
1546966132043,0.475073,0.498534,0
1546966132152,0.475073,0.501466,0
1546966132261,0.475073,0.505376,0
1546966132369,0.475073,0.494624,0
1546966132479,0.476051,0.496579,0
1546966132590,0.475073,0.508309,0
1546966132699,0.476051,0.515152,0
1546966132808,0.475073,0.501466,0
1546966132914,0.476051,0.504399,0
1546966133026,0.475073,0.509286,0
1546966133133,0.476051,0.488759,0
1546966133243,0.476051,0.495601,0
1546966133354,0.477028,0.498534,0
1546966133464,0.476051,0.527859,0
1546966133571,0.476051,0.518084,0
1546966133680,0.476051,0.498534,0
1546966133790,0.475073,0.514174,0
1546966133900,0.476051,0.497556,0
1546966134009,0.476051,0.496579,0
1546966134118,0.475073,0.496579,0
1546966134226,0.475073,0.504399,0
1546966134337,0.476051,0.529814,0
1546966134445,0.475073,0.500489,0
1546966134556,0.477028,0.514174,0
1546966134665,0.476051,0.493646,0
1546966134775,0.475073,0.502444,0
1546966134884,0.475073,0.496579,0
1546966134992,0.475073,0.490714,0
1546966135103,0.475073,0.513196,0
1546966135213,0.475073,0.515152,0
1546966135322,0.475073,0.509286,0
1546966135436,0.475073,0.501466,0
1546966135541,0.475073,0.499511,0
1546966135650,0.475073,0.493646,0
1546966135760,0.476051,0.492669,0
1546966135869,0.476051,0.491691,0
1546966135979,0.476051,0.519062,0
1546966136092,0.476051,0.509286,0
1546966136198,0.476051,0.499511,0
1546966136304,0.476051,0.504399,0
1546966136417,0.476051,0.497556,0
1546966136530,0.476051,0.495601,0
1546966136639,0.476051,0.493646,0
1546966136747,0.476051,0.490714,0
1546966136856,0.476051,0.513196,0
1546966136961,0.477028,0.522972,0
1546966137073,0.476051,0.509286,0
1546966137183,0.476051,0.507331,0
1546966137292,0.476051,0.502444,0
1546966137402,0.475073,0.495601,0
1546966137516,0.476051,0.489736,0
1546966137621,0.476051,0.496579,0
1546966137728,0.476051,0.499511,0
1546966137840,0.475073,0.499511,0
1546966137945,0.476051,0.529814,0
1546966138058,0.476051,0.508309,0
1546966138164,0.475073,0.504399,0
1546966138277,0.476051,0.499511,0
1546966138388,0.476051,0.495601,0
1546966138493,0.476051,0.490714,0
1546966138601,0.476051,0.485826,0
1546966138711,0.476051,0.486804,0
1546966138824,0.476051,0.484848,0
1546966138934,0.476051,0.516129,0
1546966139039,0.477028,0.503421,0
1546966139153,0.476051,0.491691,0
1546966139258,0.476051,0.496579,0
1546966139368,0.477028,0.489736,0
1546966139477,0.477028,0.487781,0
1546966139591,0.477028,0.487781,0
1546966139700,0.476051,0.488759,0
1546966139810,0.477028,0.504399,0
1546966139915,0.476051,0.514174,0
1546966140025,0.477028,0.494624,0
1546966140134,0.477028,0.496579,0
1546966140243,0.477028,0.490714,0
1546966140353,0.477028,0.488759,0
1546966140467,0.478006,0.490714,0
1546966140576,0.477028,0.491691,0
1546966140685,0.477028,0.488759,0
1546966140791,0.477028,0.500489,0
1546966140900,0.477028,0.508309,0
1546966141009,0.477028,0.494624,0
1546966141119,0.477028,0.494624,0
1546966141228,0.478006,0.496579,0
1546966141342,0.477028,0.490714,0
1546966141448,0.476051,0.490714,0
1546966141557,0.477028,0.490714,0
1546966141666,0.477028,0.489736,0
1546966141776,0.476051,0.502444,0
1546966141885,0.477028,0.502444,0
1546966141995,0.477028,0.492669,0
1546966142104,0.476051,0.493646,0
1546966142212,0.477028,0.491691,0
1546966142322,0.477028,0.488759,0
1546966142437,0.476051,0.489736,0
1546966142546,0.476051,0.490714,0
1546966142647,0.476051,0.490714,0
1546966142761,0.477028,0.507331,0
1546966142870,0.477028,0.498534,0
1546966142976,0.476051,0.493646,0
1546966143094,0.477028,0.497556,0
1546966143199,0.477028,0.493646,0
1546966143312,0.476051,0.492669,0
1546966143414,0.477028,0.493646,0
1546966143528,0.477028,0.492669,0
1546966143637,0.477028,0.506354,0
1546966143746,0.477028,0.500489,0
1546966143861,0.477028,0.492669,0
1546966143961,0.477028,0.499511,0
1546966144074,0.477028,0.495601,0
1546966144180,0.477028,0.492669,0
1546966144290,0.478006,0.496579,0
1546966144407,0.477028,0.492669,0
1546966144512,0.477028,0.511241,0
1546966144618,0.477028,0.503421,0
1546966144731,0.477028,0.500489,0
1546966144836,0.477028,0.499511,0
1546966144945,0.477028,0.496579,0
1546966145055,0.477028,0.497556,0
1546966145170,0.477028,0.498534,0
1546966145274,0.477028,0.495601,0
1546966145384,0.477028,0.513196,0
1546966145494,0.477028,0.503421,0
1546966145607,0.477028,0.499511,0
1546966145712,0.477028,0.500489,0
1546966145825,0.477028,0.497556,0
1546966145935,0.477028,0.494624,0
1546966146040,0.477028,0.495601,0
1546966146150,0.477028,0.491691,0
1546966146259,0.477028,0.509286,0
1546966146373,0.477028,0.495601,0
1546966146478,0.478006,0.497556,0
1546966146587,0.477028,0.497556,0
1546966146698,0.477028,0.496579,0
1546966146812,0.477028,0.495601,0
1546966146922,0.477028,0.492669,0
1546966147025,0.477028,0.494624,0
1546966147135,0.478006,0.505376,0
1546966147246,0.477028,0.496579,0
1546966147355,0.477028,0.497556,0
1546966147463,0.478006,0.498534,0
1546966147577,0.478006,0.494624,0
1546966147686,0.477028,0.496579,0
1546966147792,0.478006,0.497556,0
1546966147898,0.477028,0.517107,0
1546966148010,0.478006,0.502444,0
1546966148125,0.477028,0.496579,0
1546966148228,0.478006,0.503421,0
1546966148339,0.477028,0.497556,0
1546966148452,0.478006,0.496579,0
1546966148557,0.477028,0.497556,0
1546966148663,0.478983,0.509286,0
1546966148773,0.477028,0.514174,0
1546966148882,0.477028,0.505376,0
1546966148992,0.477028,0.503421,0
1546966149104,0.477028,0.502444,0
1546966149210,0.478006,0.499511,0
1546966149324,0.478006,0.498534,0
1546966149431,0.477028,0.494624,0
1546966149539,0.478006,0.512219,0
1546966149652,0.477028,0.515152,0
1546966149758,0.478006,0.506354,0
1546966149869,0.478006,0.506354,0
1546966149976,0.478006,0.498534,0
1546966150086,0.478006,0.493646,0
1546966150198,0.478006,0.496579,0
1546966150305,0.478983,0.493646,0
1546966150419,0.478006,0.496579,0
1546966150528,0.478006,0.519062,0
1546966150636,0.478983,0.503421,0
1546966150744,0.478983,0.500489,0
1546966150853,0.478983,0.498534,0
1546966150962,0.478983,0.494624,0
1546966151075,0.478983,0.494624,0
